mmsi,isBroken,count
205549000,0,592,0
209075000,0,1572,0
209073000,0,373,0
209180000,0,609,0
209110000,0,493,0
209024000,0,376,0
171607160,0,4,0
209038000,0,400,0
235764000,0,18,0
229166000,0,7,0
210970000,0,11,0
212433000,0,157,0
210751000,0,738,0
220521000,0,252,0
209541000,0,719,0
235098563,0,256,0
235103357,0,199,0
210098000,0,27,0
210565000,0,165,0
210539000,0,475,0
212283000,0,532,0
235111639,0,62,0
236474000,0,465,0
212158000,0,581,0
218366000,0,59,0
219134000,0,75,0
211343310,0,606,0
218355000,0,592,0
212072000,0,650,0
235011670,0,531,0
209611000,0,290,0
235335000,0,295,0
212367000,0,595,0
210435000,0,255,0
210895000,0,283,0
235554000,0,448,0
210581000,0,155,0
240141000,0,1,0
219840000,0,50,0
210728000,0,488,0
239921000,0,4,0
209941000,0,43,0
236546000,0,544,0
235010710,0,3,0
212883000,0,225,0
209854000,0,12,0
229574000,0,29,0
220594000,0,2,0
235094449,0,99,0
235077448,0,142,0
228067900,0,156,0
209856000,0,254,0
235096684,0,160,0
218075000,0,3,0
229361000,0,105,0
219018501,0,179,0
215381000,0,678,0
235093069,0,80,0
235009240,0,2,0
215226000,0,20,0
235068025,0,27,0
229271000,0,137,0
209582000,0,20,0
209863000,0,267,0
209540000,0,220,0
220567000,0,8,0
235069415,0,156,0
229988000,0,465,0
229582000,0,67,0
229265000,0,443,0
235080187,0,100,0
210569000,0,124,0
228354600,0,125,0
212500000,0,418,0
229580000,0,151,0
212348000,0,682,0
209765000,0,143,0
210296000,0,567,0
237118000,0,202,0
209355000,0,63,0
220164000,0,418,0
235089789,0,220,0
219021000,0,64,0
235060306,0,12,0
235072407,0,174,0
220499000,0,158,0
235100007,0,141,0
211779000,0,148,0
240413000,0,166,0
212289000,0,509,0
235080906,0,83,0
212417000,0,2,0
209371000,0,437,0
210341000,0,122,0
229557000,0,158,0
209676000,0,9,0
235086166,0,28,0
229441000,0,16,0
229524000,0,83,0
209919000,0,16,0
219019094,0,6,0
239831000,0,292,0
235067931,0,602,0
240499000,0,176,0
228313800,0,422,0
212175000,0,119,0
235101301,0,104,0
218073000,0,502,0
235109665,0,5,0
212507000,0,122,0
235067192,0,37,0
229602000,0,382,0
229788000,0,389,0
212522000,0,61,0
229989000,0,174,0
240385000,0,179,0
235050802,0,4,0
211256510,0,6,0
240420000,0,37,0
209811000,0,150,0
235086274,0,112,0
235059382,0,152,0
229093000,0,14,0
235603000,0,3,0
235081957,0,3,0
210043000,0,134,0
219620000,0,8,0
219632000,0,8,0
229640000,0,286,0
229148000,0,86,0
229046000,0,112,0
235095947,0,77,0
239938000,0,114,0
240589000,0,115,0
209433000,0,4,0
235102468,0,218,0
235085682,0,1,0
210190000,0,194,0
220597000,0,1,0
220593000,0,54,0
218485000,0,1,0
209694000,0,10,0
235081888,0,16,0
235076895,0,4,0
218538000,0,36,0
235074612,0,154,0
209539000,0,34,0
212951000,0,29,0
235103359,0,124,0
229757000,0,5,0
229652000,0,10,0
229338000,0,40,0
235110737,0,53,0
235078078,0,191,0
215485000,0,46,0
211377300,0,95,0
212053000,0,2,0
211831000,0,90,0
215247000,0,36,0
218614000,0,298,0
218364000,0,278,0
235074246,0,158,0
239962000,0,49,0
209597000,0,142,0
210711000,0,5,0
212721000,0,193,0
240602000,0,107,0
205487000,0,52,0
212353000,0,21,0
235099946,0,45,0
235003000,0,2,0
209333000,0,53,0
229772000,0,72,0
235085678,0,3,0
209225000,0,5,0
209464000,0,7,0
219802000,0,23,0
209596000,0,1,0
