mmsi,brokenCount,count,judgedBrokenDT
311018600,0,0,0
310550000,0,0,0
671609000,0,0,0
352044000,0,0,0
372409000,0,0,0
355530000,0,0,0
533194000,0,0,0
352092000,0,0,0
538001696,0,0,0
564364000,0,0,0
372480000,0,0,0
671611000,0,0,0
538004042,0,0,0
357361000,0,0,0
432701000,0,0,0
371343000,0,0,0
477211600,0,0,0
235100007,0,0,0
248350000,0,0,0
564190000,0,0,0
636015476,0,0,0
373408000,0,0,0
416122000,0,0,0
209765000,0,0,0
352744000,0,0,0
356462000,0,0,0
351962000,0,0,0
414733000,0,0,0
564821000,0,0,0
440332000,0,0,0
235086166,0,0,0
370701000,0,0,0
305311000,0,0,0
373804000,0,0,0
357673000,0,0,0
351818000,0,0,0
477218300,0,0,0
431501759,0,0,0
412536000,0,0,0
372135000,0,0,0
477435500,0,0,0
477188100,0,0,0
564640000,0,0,0
371971000,0,0,0
412769000,0,0,0
413977000,0,0,0
371440000,0,0,0
255805685,0,0,0
356150000,0,0,0
565382000,0,0,0
477560600,0,0,0
352520000,0,0,0
477427900,0,0,0
255805554,0,0,0
477193100,0,0,0
311032500,0,0,0
432823000,0,0,0
308273000,0,0,0
373133000,0,0,0
373217000,0,0,0
563164000,0,0,0
413453290,0,0,0
538003539,0,0,0
563817000,0,0,0
477235000,0,0,0
241265000,0,0,0
431680236,0,0,0
352060000,0,0,0
354194000,0,0,0
431104000,0,0,0
533747000,0,0,0
636015871,0,0,0
431680213,0,0,0
371096000,0,0,0
563119000,0,0,0
357039000,0,0,0
533004410,0,0,0
431680233,0,0,0
564776000,0,0,0
431083000,0,0,0
431680228,0,0,0
646016479,0,0,0
367276000,0,0,0
353057000,0,0,0
431100871,0,0,0
371623000,0,0,0
355433000,0,0,0
351639000,0,0,0
431000161,0,0,0
431400281,0,0,0
356344000,0,0,0
308937000,0,0,0
373355000,0,0,0
431680175,0,0,0
352430000,0,0,0
538006365,0,0,0
431600163,0,0,0
356076000,0,0,0
369323000,0,0,0
538005444,0,0,0
431600668,0,0,0
431500104,0,0,0
431004833,0,0,0
311000014,0,0,0
431000585,0,0,0
431001070,0,0,0
305228000,0,0,0
431600179,0,0,0
352932000,0,0,0
355514000,0,0,0
431501865,0,0,0
538003616,0,0,0
431001417,0,0,0
566274000,0,0,0
431528000,0,0,0
431601973,0,0,0
311000187,0,0,0
477766300,0,0,0
371977000,0,0,0
566460000,0,0,0
431005296,0,0,0
477686100,0,0,0
431200090,0,0,0
413455950,0,0,0
431002313,0,0,0
372666000,0,0,0
